base_strc,alloy,conc,version,cation,cation_no,coordination_number,coordination_percent
Sc,Sc,0.333,v0,Al,11,4,66.67
Sc,Sc,0.333,v0,Al,12,4,66.67
Sc,Sc,0.333,v0,Al,13,4,66.67
Sc,Sc,0.333,v0,Al,14,4,66.67
Sc,Sc,0.333,v0,Al,15,4,66.67
Sc,Sc,0.333,v0,Al,16,4,66.67
Sc,Sc,0.333,v0,Al,17,4,66.67
Sc,Sc,0.333,v0,Al,18,4,66.67
Sc,Sc,0.333,v0,Al,19,4,66.67
Sc,Sc,0.333,v0,Al,20,4,66.67
Sc,Sc,0.333,v0,Al,21,4,66.67
Sc,Sc,0.333,v0,Al,22,4,66.67
Sc,Sc,0.333,v0,Al,23,4,66.67
Sc,Sc,0.333,v0,Al,24,4,66.67
Sc,Sc,0.333,v0,Sc,25,4,30.56
Sc,Sc,0.333,v0,Sc,26,4,30.56
Sc,Sc,0.333,v0,Sc,27,4,30.56
Sc,Sc,0.333,v0,Sc,28,4,30.56
Sc,Sc,0.333,v0,Sc,29,4,30.56
Sc,Sc,0.333,v0,Sc,30,4,30.56
Sc,Sc,0.333,v0,Sc,31,4,30.56
Sc,Sc,0.333,v0,Sc,32,4,30.56
Sc,Sc,0.333,v0,Sc,33,5,2.78
Sc,Sc,0.333,v0,Sc,34,4,30.56
Sc,Sc,0.333,v0,Sc,35,4,30.56
Sc,Sc,0.333,v0,Sc,36,4,30.56
Sc,Sc,0.333,v1,Al,1,4,66.67
Sc,Sc,0.333,v1,Al,2,4,66.67
Sc,Sc,0.333,v1,Al,3,4,66.67
Sc,Sc,0.333,v1,Al,4,4,66.67
Sc,Sc,0.333,v1,Al,5,4,66.67
Sc,Sc,0.333,v1,Al,6,4,66.67
Sc,Sc,0.333,v1,Al,7,4,66.67
Sc,Sc,0.333,v1,Al,8,4,66.67
Sc,Sc,0.333,v1,Al,9,4,66.67
Sc,Sc,0.333,v1,Al,10,4,66.67
Sc,Sc,0.333,v1,Al,11,4,66.67
Sc,Sc,0.333,v1,Al,12,4,66.67
Sc,Sc,0.333,v1,Al,13,4,66.67
Sc,Sc,0.333,v1,Al,14,4,66.67
Sc,Sc,0.333,v1,Al,15,4,66.67
Sc,Sc,0.333,v1,Al,16,4,66.67
Sc,Sc,0.333,v1,Al,17,4,66.67
Sc,Sc,0.333,v1,Al,18,4,66.67
Sc,Sc,0.333,v1,Al,19,4,66.67
Sc,Sc,0.333,v1,Al,20,4,66.67
Sc,Sc,0.333,v1,Al,21,4,66.67
Sc,Sc,0.333,v1,Al,22,4,66.67
Sc,Sc,0.333,v1,Al,23,4,66.67
Sc,Sc,0.333,v1,Al,24,4,66.67
Sc,Sc,0.333,v1,Sc,25,4,33.33
Sc,Sc,0.333,v1,Sc,26,4,33.33
Sc,Sc,0.333,v1,Sc,27,4,33.33
Sc,Sc,0.333,v1,Sc,28,4,33.33
Sc,Sc,0.333,v1,Sc,29,4,33.33
Sc,Sc,0.333,v1,Sc,30,4,33.33
Sc,Sc,0.333,v1,Sc,31,4,33.33
Sc,Sc,0.333,v1,Sc,32,4,33.33
Sc,Sc,0.333,v1,Sc,33,4,33.33
Sc,Sc,0.333,v1,Sc,34,4,33.33
Sc,Sc,0.333,v1,Sc,35,4,33.33
Sc,Sc,0.333,v1,Sc,36,4,33.33
Sc,Sc,0.333,v2,Al,1,4,66.67
Sc,Sc,0.333,v2,Al,2,4,66.67
Sc,Sc,0.333,v2,Al,3,4,66.67
Sc,Sc,0.333,v2,Al,4,4,66.67
Sc,Sc,0.333,v2,Al,5,4,66.67
Sc,Sc,0.333,v2,Al,6,4,66.67
Sc,Sc,0.333,v2,Al,7,4,66.67
Sc,Sc,0.333,v2,Al,8,4,66.67
Sc,Sc,0.333,v2,Al,9,4,66.67
Sc,Sc,0.333,v2,Al,10,4,66.67
Sc,Sc,0.333,v2,Al,11,4,66.67
Sc,Sc,0.333,v2,Al,12,4,66.67
Sc,Sc,0.333,v2,Al,13,4,66.67
Sc,Sc,0.333,v2,Al,14,4,66.67
Sc,Sc,0.333,v2,Al,15,4,66.67
Sc,Sc,0.333,v2,Al,16,4,66.67
Sc,Sc,0.333,v2,Al,17,4,66.67
Sc,Sc,0.333,v2,Al,18,4,66.67
Sc,Sc,0.333,v2,Al,19,4,66.67
Sc,Sc,0.333,v2,Al,20,4,66.67
Sc,Sc,0.333,v2,Al,21,4,66.67
Sc,Sc,0.333,v2,Al,22,4,66.67
Sc,Sc,0.333,v2,Al,23,4,66.67
Sc,Sc,0.333,v2,Al,24,4,66.67
Sc,Sc,0.333,v2,Sc,25,4,30.56
Sc,Sc,0.333,v2,Sc,26,5,2.78
Sc,Sc,0.333,v2,Sc,27,4,30.56
Sc,Sc,0.333,v2,Sc,28,4,30.56
Sc,Sc,0.333,v2,Sc,29,4,30.56
Sc,Sc,0.333,v2,Sc,30,4,30.56
Sc,Sc,0.333,v2,Sc,31,4,30.56
Sc,Sc,0.333,v2,Sc,32,4,30.56
Sc,Sc,0.333,v2,Sc,33,4,30.56
Sc,Sc,0.333,v2,Sc,34,4,30.56
Sc,Sc,0.333,v2,Sc,35,4,30.56
Sc,Sc,0.333,v2,Sc,36,4,30.56
Sc,Sc,0.333,v3,Al,1,4,66.67
Sc,Sc,0.333,v3,Al,2,4,66.67
Sc,Sc,0.333,v3,Al,3,4,66.67
Sc,Sc,0.333,v3,Al,4,4,66.67
Sc,Sc,0.333,v3,Al,5,4,66.67
Sc,Sc,0.333,v3,Al,6,4,66.67
Sc,Sc,0.333,v3,Al,7,4,66.67
Sc,Sc,0.333,v3,Al,8,4,66.67
Sc,Sc,0.333,v3,Al,9,4,66.67
Sc,Sc,0.333,v3,Al,10,4,66.67
Sc,Sc,0.333,v3,Al,11,4,66.67
Sc,Sc,0.333,v3,Al,12,4,66.67
Sc,Sc,0.333,v3,Al,13,4,66.67
Sc,Sc,0.333,v3,Al,14,4,66.67
Sc,Sc,0.333,v3,Al,15,4,66.67
Sc,Sc,0.333,v3,Al,16,4,66.67
Sc,Sc,0.333,v3,Al,17,4,66.67
Sc,Sc,0.333,v3,Al,18,4,66.67
Sc,Sc,0.333,v3,Al,19,4,66.67
Sc,Sc,0.333,v3,Al,20,4,66.67
Sc,Sc,0.333,v3,Al,21,4,66.67
Sc,Sc,0.333,v3,Al,22,4,66.67
Sc,Sc,0.333,v3,Al,23,4,66.67
Sc,Sc,0.333,v3,Al,24,4,66.67
Sc,Sc,0.333,v3,Sc,25,4,33.33
Sc,Sc,0.333,v3,Sc,26,4,33.33
Sc,Sc,0.333,v3,Sc,27,4,33.33
Sc,Sc,0.333,v3,Sc,28,4,33.33
Sc,Sc,0.333,v3,Sc,29,4,33.33
Sc,Sc,0.333,v3,Sc,30,4,33.33
Sc,Sc,0.333,v3,Sc,31,4,33.33
Sc,Sc,0.333,v3,Sc,32,4,33.33
Sc,Sc,0.333,v3,Sc,33,4,33.33
Sc,Sc,0.333,v3,Sc,34,4,33.33
Sc,Sc,0.333,v3,Sc,35,4,33.33
Sc,Sc,0.333,v3,Sc,36,4,33.33
Sc,Sc,0.444,v0,Al,1,4,55.56
Sc,Sc,0.444,v0,Al,2,4,55.56
Sc,Sc,0.444,v0,Al,3,4,55.56
Sc,Sc,0.444,v0,Al,4,4,55.56
Sc,Sc,0.444,v0,Al,5,4,55.56
Sc,Sc,0.444,v0,Al,6,4,55.56
Sc,Sc,0.444,v0,Al,7,4,55.56
Sc,Sc,0.444,v0,Al,8,4,55.56
Sc,Sc,0.444,v0,Al,9,4,55.56
Sc,Sc,0.444,v0,Al,10,4,55.56
Sc,Sc,0.444,v0,Al,11,4,55.56
Sc,Sc,0.444,v0,Al,12,4,55.56
Sc,Sc,0.444,v0,Al,13,4,55.56
Sc,Sc,0.444,v0,Al,14,4,55.56
Sc,Sc,0.444,v0,Al,15,4,55.56
Sc,Sc,0.444,v0,Al,16,4,55.56
Sc,Sc,0.444,v0,Al,17,4,55.56
Sc,Sc,0.444,v0,Al,18,4,55.56
Sc,Sc,0.444,v0,Al,19,4,55.56
Sc,Sc,0.444,v0,Al,20,4,55.56
Sc,Sc,0.444,v0,Sc,21,4,44.44
Sc,Sc,0.444,v0,Sc,22,4,44.44
Sc,Sc,0.444,v0,Sc,23,4,44.44
Sc,Sc,0.444,v0,Sc,24,4,44.44
Sc,Sc,0.444,v0,Sc,25,4,44.44
Sc,Sc,0.444,v0,Sc,26,4,44.44
Sc,Sc,0.444,v0,Sc,27,4,44.44
Sc,Sc,0.444,v0,Sc,28,4,44.44
Sc,Sc,0.444,v0,Sc,29,4,44.44
Sc,Sc,0.444,v0,Sc,30,4,44.44
Sc,Sc,0.444,v0,Sc,31,4,44.44
Sc,Sc,0.444,v0,Sc,32,4,44.44
Sc,Sc,0.444,v0,Sc,33,4,44.44
Sc,Sc,0.444,v0,Sc,34,4,44.44
Sc,Sc,0.444,v0,Sc,35,4,44.44
Sc,Sc,0.444,v0,Sc,36,4,44.44
Sc,Sc,0.444,v1,Sc,1,5,11.11
Sc,Sc,0.444,v1,Sc,2,4,33.33
Sc,Sc,0.444,v1,Sc,3,5,11.11
Sc,Sc,0.444,v1,Sc,4,4,33.33
Sc,Sc,0.444,v1,Sc,5,4,33.33
Sc,Sc,0.444,v1,Sc,6,4,33.33
Sc,Sc,0.444,v1,Sc,7,4,33.33
Sc,Sc,0.444,v1,Sc,8,4,33.33
Sc,Sc,0.444,v1,Sc,9,4,33.33
Sc,Sc,0.444,v1,Sc,10,4,33.33
Sc,Sc,0.444,v1,Sc,11,4,33.33
Sc,Sc,0.444,v1,Sc,12,5,11.11
Sc,Sc,0.444,v1,Sc,13,4,33.33
Sc,Sc,0.444,v1,Sc,14,4,33.33
Sc,Sc,0.444,v1,Sc,15,4,33.33
Sc,Sc,0.444,v1,Sc,16,5,11.11
Sc,Sc,0.444,v1,Al,17,4,55.56
Sc,Sc,0.444,v1,Al,18,4,55.56
Sc,Sc,0.444,v1,Al,19,4,55.56
Sc,Sc,0.444,v1,Al,20,4,55.56
Sc,Sc,0.444,v1,Al,21,4,55.56
Sc,Sc,0.444,v1,Al,22,4,55.56
Sc,Sc,0.444,v1,Al,23,4,55.56
Sc,Sc,0.444,v1,Al,24,4,55.56
Sc,Sc,0.444,v1,Al,25,4,55.56
Sc,Sc,0.444,v1,Al,26,4,55.56
Sc,Sc,0.444,v1,Al,27,4,55.56
Sc,Sc,0.444,v1,Al,28,4,55.56
Sc,Sc,0.444,v1,Al,29,4,55.56
Sc,Sc,0.444,v1,Al,30,4,55.56
Sc,Sc,0.444,v1,Al,31,4,55.56
Sc,Sc,0.444,v1,Al,32,4,55.56
Sc,Sc,0.444,v1,Al,33,4,55.56
Sc,Sc,0.444,v1,Al,34,4,55.56
Sc,Sc,0.444,v1,Al,35,4,55.56
Sc,Sc,0.444,v1,Al,36,4,55.56
Sc,Sc,0.444,v2,Al,1,4,55.56
Sc,Sc,0.444,v2,Al,2,4,55.56
Sc,Sc,0.444,v2,Al,3,4,55.56
Sc,Sc,0.444,v2,Al,4,4,55.56
